SampleLabel,Time,7Li,26Mg,27Al,29Si,31P,43Ca,45Sc,48Ti,51V,52Cr,55Mn,57Fe,59Co,60Ni,63Cu,66Zn,88Sr,89Y,90Zr
bir-1,12921,1200.05,41359.786,24420.855,78414.621,4400.678,1600.09,4100.588,1700.101,800.022,48482.129,4500.709,23519.345,2100.154,17510.725,1900.126,100,200.001,200.001,200.001
bir-1,13310,800.022,39855.519,23719.675,72684.437,3700.479,1700.101,3000.315,2100.154,200.001,47679.434,3500.429,28628.657,2900.294,16709.767,1700.101,100,200.001,0,0
bir-1,13700,1100.042,39053.308,28027.467,74192.158,3400.405,600.013,5701.137,1600.09,100,46475.476,4500.709,22117.108,3100.336,20614.863,800.022,0,300.003,0,300.003
bir-1,14091,1400.069,40758.06,26123.864,69970.939,3600.454,1200.05,3500.429,1200.05,500.009,45873.535,4600.741,19813.731,4000.56,17610.848,1000.035,100,300.003,0,200.001
bir-1,14480,1200.05,45472.255,25622.958,67659.846,2300.185,1200.05,3800.506,1200.05,100,42763.911,4800.806,24320.685,3400.405,17410.603,700.017,0,0,0,300.003
bir-1,14870,300.003,44168.174,26224.047,75498.978,4300.647,1300.059,4900.841,2000.14,500.009,46074.179,4900.841,20614.863,2500.219,19413.182,600.013,300.003,300.003,100,400.006
bir-1,15220,1200.05,41359.786,29129.669,68966.07,4400.678,500.009,3000.315,2800.274,300.003,45773.214,3100.336,25122.07,3500.429,20214.292,1100.042,0,200.001,200.001,500.009
bir-1,15610,1100.042,43867.248,29530.49,73388.02,3500.429,700.017,4200.618,900.028,400.006,51091.198,3800.506,24521.027,3100.336,16609.65,1100.042,100,200.001,200.001,200.001
bir-1,16000,1300.059,42463.015,24320.685,75700.037,3300.381,2000.14,3000.315,1700.101,100,41359.786,4200.618,23719.675,3000.315,17510.725,800.022,0,200.001,0,900.028
bir-1,16390,1800.113,38150.874,26324.231,66956.544,3400.405,1300.059,3400.405,1600.09,600.013,48482.129,4500.709,26123.864,2300.185,17610.848,1700.101,100,0,100,200.001
bir-1,16780,800.022,42964.511,27025.539,72382.912,3200.358,1200.05,3900.532,1700.101,100,44770.043,3500.429,23218.854,3400.405,19313.046,700.017,200.001,300.003,300.003,0
bir-1,17170,400.006,36747.202,30933.455,69769.96,3100.336,1300.059,3000.315,1000.035,600.013,43365.721,4200.618,22918.369,2500.219,20114.15,1200.05,200.001,500.009,0,400.006
bir-1,17560,1500.079,40457.206,27225.919,67559.373,4000.56,900.028,4200.618,1900.126,200.001,43666.635,3700.479,22317.419,2500.219,17410.603,800.022,200.001,300.003,100,0
bir-1,17910,700.017,40958.632,24721.372,71076.376,3600.454,1000.035,4300.647,1200.05,400.006,45070.987,3800.506,23419.18,3400.405,21015.446,800.022,0,300.003,100,0
bir-1,18300,2000.14,40758.06,24521.027,69870.449,3100.336,300.003,2900.294,1000.035,500.009,49585.908,4700.773,23018.53,2800.274,21416.041,2500.219,400.006,0,0,200.001
bir-1,18689,1000.035,39454.408,25823.318,72483.419,3100.336,600.013,3500.429,2100.154,500.009,51492.635,2900.294,24220.515,3200.358,16309.304,1000.035,400.006,300.003,0,300.003
